ID,Name,GUID,IsLive,EmployeesAreEmailable,BookingTeamEmail,BookingTeamEmailSecondary,ClientTerm,ProjectTerm,EmployeeVantageNoRequired,EmployeeNiNumberRequired,EmployeeNumberRequired,ShowAccommodation,ShowRechargeableToClient,ShowCapeCost,ShowReasonForTraining,ShowMealAllowance,ShowEmployeeExpenses,ShowProjectOnBooking,BookingAbbreviation,RequestFormType,SendTravelEmail,EmployeeWBSNumberRequired,EmployeePersonTypeRequired,ShowLeaversOnDashboard,ShowPreMobOnDashboard,SendRequestEmailsToBooker,ShowEmployeeMergeTool,TPCAccommodationTravelDeskOptions,TMSCompany,Hostname,CMSEnabled,ShowComplianceOnDashboard,ShowBudget,ResetPasswordTimeout,InitialPasswordTimeout,RecertReminderDaysOne,RecertReminderDaysTwo,RecertReminderDaysThree,ShowAbsences,CanBatchUpdateRequests,RecertEmails,SendSevenDayRecert,SevenDayRecertEmail,SendRequestEmailToManager,TeamTerm,ShowAge,ShowTCONumber,IsFixedNOKNumber,ShowMedicalCertificate,NINumberTerm,EmployeeNumberTerm,ShowCostCentre,ShowDelegateType,ShowReskin,AllowMandatoryCourseApprovals,ShowEmployeeReskin,AutoArchiveLeaver,ShowNOK,UseTopLevelCourseFiltering,TcmpCustomerId,ShowDOB,SendRecertEmailToEmployee,HealthStatusTerm,NewStarterPeriodLength,ShowComplianceReportSimplified,ShowWageReport,CanTAMakeRequests,ShowEventTracker,EventTrackerTitle,TransformTenantId,EnableAdminSso,EnableTASso,EnableEmployeeSso,ShowIsReimbursable,ReadOnlyEmployees,ShowEmployeeHelp,LeaverEmails,CheckNotOnRota,UseAdditionalAccommodationInfo,ShowMandatoryPreApproved,ShowJobRoleQualifiedPercentage,AutoCompleteTaskManagement,BusinessStreamTerm,ShowBusinessStream,ExternalReportURL,UseExternalReminderLink,UseGaps,ExternalBookingFormEnabled,GapReminderEmails,RecertReminderDaysFour,AllowDelegateBooking,ShowDeviationEnhancements,DeviationReminderRecipient,ShowRequestTimePending,UseConfiguredCancellationReasons,AllowCustomITPBookingTimes,DoNotCountNomination,CountNominationAs100,SendJIsFiveDaysBeforeEnabled,SendJIsFiveDaysBeforeRecipients,MandatoryPreApprovedSummaryEnabled,MandatoryPreApprovedSummaryRecipients,RemindersForAllCourses5DaysBeforeEnabled,RemindersForAllCourses5DaysBeforeRecipients,PendingRequestsReminder24HoursEnabled,PendingRequestsReminder24HoursRecipients,RequestsNotBookedReminder24HoursEnabled,RequestsNotBookedReminder24HoursRecipients,DeviationRecipientName,RequestForApprovalRecipients,DateChangeNotificationRecipients,BookingCancellationNotificationRecipients,PassedStatusChangedRecipients,NoShowAlertRecipients,RequestApprovedRecipients,RequestDeclinedRecipients,IndividualGapReminderRecipients,GroupGapReminderRecipients,NewJobRoleAssignedRecipients,EmployeeLockedOutRecipients,EmployeeNewlyAddedRecipients,EmployeesCouldNotBeMergedRecipients,ClientsAndProjectsAddedRecipients,DeviationApprovedRecipients,JoiningInstructionsRecipients,AccommodationRequiredRecipients,ThirdPartyCourseBookedRecipients,SyncCompleteRecipients,DateChangeRequestNotificationRecipients,CancellationRequestNotificationRecipients,EmployeeWelcomeEmailRecipients,EmployeePasswordResetRecipients,AbsenceForApprovalRecipients,MatrixCourseAddedRecipients,RecertsDaysFourRecipients,ShowAISResponsibilityOnMatrix,AccommodationRequiredFrom,CalcuateTrainingMatrix,ShowCourseHoursField,ShowSupplierAsAutoSuggest,CurrencySymbol,ShowClientProjectPowerBIOptions,ShowSimpleCreateTPBookingForm,CertsOverrideDeviations,ShowFinanceReport,AutomatedReportRecipients,RequestMessageTop,RequestMessageBottom,ShowSupplierOnEmployeeTPBookingForm,AllowNotBookableOnDashboard,ShowMatrixComplianceAllRequirementsReport,ResultsPerListing,DetailedEmailSignoff,UseWorkPlaceTMSInfo,UseSecondaryExternalID,ShowPrimaryJobRoleOnDelegateProfileByDefault,ShowCourseSupplierCodes,ShowLatestBookingsOnDashboard,ShowCoursesThisWeekOnDashboard,ShowReCertsOnDashboard,ShowNewStartersOnDashboard,ShowBookingsThisWeekOnDashboard,ExpenseCodeActive,ExpenseCodeName,EmployeeRequestLikeBooking,TopLevelCourseBookingRequestEmail,bookingMessage,DefaultThirdPartySupplier,NetworkNumberTerm,ShowEmployeeNumberOnBookings,ShowEmployeeNumberOnRequests,ShowProjectOnRequestForm,AutomatedReportRecipientsCC,NewStarterUseRegisteredDate,ShowEmploymentCompany,ShowContractingCompany,ShowCourseComplianceReport,DefaultPassword,ShowTrainingProvider,AutofillProjectCodeWithReimbursableCode,AutoArchiveExpired,SendToProjectEmail,UseMintraOrganizationUnitManagement,DelegateStatusChangedNotificationsEnabled,DelegateStatusChangedNotificationRecipients,AzureSignIn,AzureTenantId,EnableSAPJobRoleIDs,ManagedByExternalHR,SetNoShowsToBook,ShowCertExpiryDateOnMatrix,CertExpiryAmberDays,RecertReminderCCRecipient,FormBuilderTenantId,UseFormBuilderDeviationForm,FormBuilderDeviationFormId,WeeklyCourseStatusReportRecipients,MandatoryPrereqCheckbox,ShowCertAwardedDateOnMatrix,ShowEmployeeTrainingHistory,NewEmployeesReceiveEmails,CertificateExtractPageEnabled,AutoPopulateDelegateEmailOnCourseBookingForm,JoiningInstructionsDefaultRecipientEmail,AutoPopulateCMPPONumber,IsCertRelatedBookingMandatory,CertUploadReminder,CertUploadReminderEmail,SendExpiringCertificatesReport,SendExpiringCertificatesReportDate,OnlyPrimaryJobRoleOnMatrixComplianceReports,UseAlternativeFormBuilderDeviationNotification,UseExternalCourseID,UseSkillsVXCourse,SetFailedBookingsToBook,SetExpiredBookingsToBook,InternalSupplierTerm,InternalTPSbookingRecipients,InternalTPSbookingEmailNotificationEnabled,ShowProjectOnEmail
11,Bilfinger UK,4fbd9dfb-58c1-4bbb-96cb-621ccc3786a2,1,0,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,Cost Centre,Client,0,0,1,0,0,0,0,0,0,0,BUK,1,1,1,0,1,1,1,1,0,Bilfinger Industrial Services UK Limited,bilfingeruk,0,0,0,1,8,120,90,60,0,1,,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,1,0,1,0,1,0,5f84938d-addc-4564-942e-c8a21c30079b,1,0,Health Status,30,0,0,1,0,Event Tracker,7bb334e3-f03b-41eb-f888-08d83863c80e,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,,0,1,1,,30,1,0,",",1,0,1,0,0,1,,1,bilfingeruk@aisgroup.co.uk,1,,1,bilfingeruk@aisgroup.co.uk,1,bilfingeruk@aisgroup.co.uk,,,,,,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,,,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,,bilfingeruk@aisgroup.co.uk,bilfingeruk@aisgroup.co.uk,,,,,,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,0,20,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,1,0,0,0,,0,,0,0,0,0,90,,NULL,0,NULL,,1,0,1,0,1,1,,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
12,Access Coating,56756d8f-f8d4-447f-80b5-507d1024ab1b,1,0,tms@aisgroup.co.uk,tms@aisgroup.co.uk,Client,Project,0,0,0,0,0,0,0,0,0,0,AC,1,0,0,0,1,0,0,1,0,Access Coatings,accesscoating,1,0,0,1,8,120,90,60,0,0,tms@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,1,0,1,0,1,0,81032860-2709-4dad-bc5e-55e58bfc1d8d,1,1,Health Status,30,0,0,1,0,Event Tracker,c453fff2-6caf-4278-f889-08d83863c80e,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,NULL,0,1,1,,30,1,0,,1,0,1,0,0,1,,1,tms@aisgroup.co.uk,1,,1,tms@aisgroup.co.uk,1,tms@aisgroup.co.uk,,,,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,,,,0,,0,1,0,?,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,0,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
13,Kentech,6bbdfd37-447e-4e81-a98a-6b72341ca2a7,1,0,timothy.butler@kentech.com,timothy.butler@kentech.com,Client,Project,0,0,0,0,0,0,0,0,0,0,KT,1,0,0,0,1,0,0,1,0,Kentech,kentech,0,0,0,1,8,120,90,60,0,0,timothy.butler@kentech.com,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,1,0,1,0,1,0,c2ddc35a-e658-4579-9a85-df6ae32046b1,1,1,Health Status,30,0,0,1,0,Event Tracker,ca30483e-78b8-4455-f88a-08d83863c80e,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,,0,1,1,,30,1,0,,1,0,1,0,0,1,,1,timothy.butler@kentech.com,1,,1,timothy.butler@kentech.com,1,timothy.butler@kentech.com,,,,,,timothy.butler@kentech.com,timothy.butler@kentech.com,timothy.butler@kentech.com,,,timothy.butler@kentech.com,timothy.butler@kentech.com,timothy.butler@kentech.com,timothy.butler@kentech.com,timothy.butler@kentech.com,timothy.butler@kentech.com,,timothy.butler@kentech.com,timothy.butler@kentech.com,,timothy.butler@kentech.com,timothy.butler@kentech.com,,,,,,0,,0,1,0,$,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
14,Wellsafe,73a725a2-5ab1-43fd-8ffd-bd799d0ad304,1,1,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,Divison,Asset,0,0,0,0,0,0,0,0,0,0,WS,1,0,0,0,1,0,0,1,0,Well-Safe Solutions,wellsafe,1,0,0,1,8,90,60,30,0,1,wellsafe@aisgroup.co.uk,0,,1,Team,0,0,0,0,NI Number,Employee Number,0,0,1,1,1,0,1,0,8b5227c7-31d1-48b3-835c-384f89c11adb,1,1,Health Status,30,1,0,1,0,Event Tracker,61f46459-0806-4cce-f88b-08d83863c80e,0,0,0,1,1,0,wellsafe@aisgroup.co.uk,0,0,0,0,0,Business Stream,0,,0,1,1,,15,0,0,,1,0,1,0,0,1,,1,wellsafe@aisgroup.co.uk,1,,1,wellsafe@aisgroup.co.uk,1,wellsafe@aisgroup.co.uk,,,,,,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,,,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,,wellsafe@aisgroup.co.uk,wellsafe@aisgroup.co.uk,,,,,,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,1,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,1,0,0,0,,0,,0,0,0,0,90,,NULL,0,NULL,,1,0,1,0,0,1,,1,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,1,0,Wellsafe,,0,0
15,Brand,98141a36-ffb6-442b-b1ff-7d04c0afed13,1,0,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,Client,Cost Centre,0,0,0,0,0,0,0,0,0,0,BR,1,0,0,0,1,0,0,1,0,Brand Energy and Infrastructure,brand,0,0,0,1,8,90,60,30,0,0,"cwright2@brandsafway.com ",1,"cwright2@brandsafway.com ",0,Team,0,0,0,0,NI Number,Employee Number,0,0,1,0,1,0,1,0,b572dc12-63e5-4268-8ff4-a2d29648ccc0,1,1,Health Status,30,0,0,1,0,Event Tracker,4e6597ec-27de-4441-f88c-08d83863c80e,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,,0,1,1,,15,1,0,,1,0,1,0,0,1,,1,brandtms@aisgroup.co.uk,1,,1,brandtms@aisgroup.co.uk,1,brandtms@aisgroup.co.uk,,,,,,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,,,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,,brandtms@aisgroup.co.uk,brandtms@aisgroup.co.uk,,,,,,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,1,0,0,0,,0,,0,0,0,0,90,,NULL,0,NULL,,1,0,1,0,0,1,,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,Brand,,0,0
16,Total Energies,0a72d85c-0d8b-4936-bea7-cd470a887492,1,0,tepuk@aisgroup.co.uk,tepuk@aisgroup.co.uk,Client,Project,0,1,0,0,0,0,0,0,0,0,TE,1,0,0,0,1,0,0,1,0,TOTAL E&P UK Ltd,tepuk,0,0,0,60,60,120000,90000,600000,0,0,tepuk@aisgroup.co.uk.co.uk,0,,0,Team,0,0,0,0,IGG Number,Sigle,0,0,1,0,1,0,1,0,d8acfe3d-a959-4978-ab69-2f8e316e369b,1,0,Availability,30,1,0,1,0,Event Tracker,60ed4319-d8de-4b4d-f88d-08d83863c80e,0,0,0,1,0,0,tepuk@aisgroup.co.uk,0,0,0,0,0,Business Stream,0,,0,1,1,,300000,0,0,,1,0,1,0,0,1,,1,tepuk@aisgroup.co.uk.co.uk,1,,1,tepuk@aisgroup.co.uk.co.uk,1,tepuk@aisgroup.co.uk.co.uk,,,,,,tepuk@aisgroup.co.uk.co.uk,,tepuk@aisgroup.co.uk.co.uk,,,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,,tepuk@aisgroup.co.uk.co.uk,tepuk@aisgroup.co.uk.co.uk,,,,,,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,1,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,1,1,0,NULL,1,0,1,0,1,0,,1,329e91b0-e21f-48fb-a071-456717ecc28e,0,0,0,0,90,,NULL,0,NULL,,1,0,1,0,0,1,,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,1,0,0,TotalEnergies,,0,0
17,BP GTA,0170090f-57b2-4f1a-9580-356aa45e9c44,1,0,tms@aisgroup.co.uk,tms@aisgroup.co.uk,Client,Project,0,0,0,0,0,0,0,0,0,0,BP,1,0,0,0,1,0,0,1,0,"BP-GTA Project ",bpgta,0,0,0,1,8,120,90,60,0,0,tms@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,1,0,1,0,1,0,NULL,1,1,Health Status,30,0,0,1,0,Event Tracker,NULL,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,NULL,0,1,0,,30,1,0,,1,0,1,0,0,1,,1,tms@aisgroup.co.uk,1,,1,tms@aisgroup.co.uk,1,tms@aisgroup.co.uk,,,,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,,,,0,,0,1,0,?,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
18,Cobalt 1,1c834d78-f581-4bf3-9881-3a31a653bc12,1,0,tms@aisgroup.co.uk,tms@aisgroup.co.uk,Client,Project,0,0,0,0,0,0,0,0,0,0,CB1,1,0,0,0,1,0,0,1,0,Cobalt 1,cobalt1,0,0,0,1,8,120,90,60,0,0,tms@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,0,0,0,0,1,0,54e6c3e2-045f-4686-be59-4f74e48eb633,1,1,Health Status,30,0,0,1,0,Event Tracker,e0af714d-75ff-4c8a-e512-08d853294cb2,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,NULL,0,1,1,,30,1,0,,1,0,1,0,0,1,,1,tms@aisgroup.co.uk,1,,1,tms@aisgroup.co.uk,1,tms@aisgroup.co.uk,,,,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,,,,0,,0,1,0,?,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,0,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
19,Cobalt 2,27a74559-404d-43af-ad96-68bf7c7253c9,1,0,tms@aisgroup.co.uk,tms@aisgroup.co.uk,Client,Project,0,0,0,0,0,0,0,0,0,0,CB2,1,0,0,0,1,0,0,1,0,Cobalt 2,cobalt2,0,0,0,1,8,120,90,60,0,0,tms@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number," Employee Number",0,0,0,0,0,0,1,0,NULL,1,1,Health Status,30,0,0,1,0,Event Tracker,NULL,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,NULL,0,1,0,,30,1,0,,1,0,1,0,0,1,,1,tms@aisgroup.co.uk,1,,1,tms@aisgroup.co.uk,1,tms@aisgroup.co.uk,,,,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,,,,0,,0,1,0,?,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,0,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
20,Cobalt 3,3ec0557b-2b02-48eb-9585-141eef52dc83,1,0,tms@aisgroup.co.uk,tms@aisgroup.co.uk,Client,Project,0,0,0,0,0,0,0,0,0,0,CB3,1,0,0,0,1,0,0,1,0,Cobalt 3,cobalt3,0,0,0,1,8,120,90,60,0,0,tms@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,0,0,0,0,1,0,69dd8d01-da2e-44d4-b2c2-f107e3655884,1,1,Health Status,30,0,0,1,0,Event Tracker,593053a5-e04e-4998-4b95-08d9267b60b7,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,NULL,0,1,1,,30,1,0,,1,0,1,0,0,1,,1,tms@aisgroup.co.uk,1,,1,tms@aisgroup.co.uk,1,tms@aisgroup.co.uk,,,,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,tms@aisgroup.co.uk,tms@aisgroup.co.uk,,,,,,0,,0,1,0,?,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,1,1,1,1,0,Expense Code,0,NULL,NULL,0,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,NULL,0,0,0,0,90,,NULL,0,NULL,,0,0,0,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
21,Advanced Industrial Solutions,4bb18cbe-84c0-428d-90b1-12142d77e759,1,1,planning@aisgroup.co.uk,planning@aisgroup.co.uk,Training Company,Awarding Body,0,0,0,0,0,0,0,0,0,0,AIS,1,0,0,0,0,0,0,1,0,Advanced Industrial Solutions,ais,0,0,0,1,8,120,90,60,0,0,planning@aisgroup.co.uk,0,,0,Team,0,0,0,0,NI Number,Employee Number,0,0,0,0,0,0,1,0,64bc4669-622b-44a2-9f0f-159eebb6bbed,1,1,Health Status,30,0,0,1,0,Event Tracker,4f52a24d-3212-45ae-f882-08d83863c80e,0,0,0,1,0,0,,0,0,0,0,0,Business Stream,0,,0,1,1,,30,1,0,",",1,0,1,0,0,1,,1,planning@aisgroup.co.uk,1,,1,planning@aisgroup.co.uk,1,planning@aisgroup.co.uk,,,,,,planning@aisgroup.co.uk,planning@aisgroup.co.uk,planning@aisgroup.co.uk,,,planning@aisgroup.co.uk,planning@aisgroup.co.uk,planning@aisgroup.co.uk,planning@aisgroup.co.uk,planning@aisgroup.co.uk,planning@aisgroup.co.uk,,planning@aisgroup.co.uk,planning@aisgroup.co.uk,,planning@aisgroup.co.uk,planning@aisgroup.co.uk,,,,,,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,0,5,0,1,0,0,0,1,0,1,0,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,0,0,0,NULL,1,0,0,0,0,0,,0,,0,0,0,0,90,,NULL,0,NULL,,0,0,1,0,0,1,NULL,0,1,1,thirdpartycerts@aisgroup.co.uk,0,1,0,0,0,0,0,0,AIS,,0,0
22,PBS,5d882dc8-2b11-47d7-85ec-b56e3febab86,1,1,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,Client,Project,0,0,0,1,0,0,0,0,0,0,PBS,1,1,0,0,1,0,0,1,1,PBS,pbs,1,0,0,1,8,120,90,60,1,0,,0,,0,CMS Team,0,0,0,0," NI Number",Payroll Number,0,0,0,0,0,0,1,0,28a661f4-6398-47ed-9481-9bf021756a54,1,1,Health Status,30,1,0,1,0,Event Tracker,27485dad-805a-49c7-f88e-08d83863c80e,0,0,0,1,1,0,pbs@aisgroup.co.uk,0,0,0,0,0,Occupation,1,,0,1,1,,30,0,0,,1,0,1,0,0,1,,1,pbs@aisgroup.co.uk,1,,1,pbs@aisgroup.co.uk,1,pbs@aisgroup.co.uk,,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,"pbs@aisgroup.co.uk, Kyrstie.Massie@pbs-offshore.com, Annette.Thomson@pbs-offshore.com, saoirse.ling@pbs-offshore.com ",,,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,,pbs@aisgroup.co.uk,pbs@aisgroup.co.uk,,,,,pbs@aisgroup.co.uk,0,,0,1,0,£,0,0,0,0,NULL,NULL,NULL,1,0,1,20,0,0,0,0,0,1,0,0,1,1,0,Expense Code,0,,,823,Network Number,0,0,0,NULL,1,1,1,1,Password123!,1,0,1,0,1,0,,0,,0,0,0,1,90,pbs@aisgroup.co.uk,NULL,0,NULL,,1,0,1,0,1,1,,0,1,2,,0,1,0,0,0,0,0,0,PBS,,0,0
23,Wood Group,6ea15ad2-8a62-4e03-a528-f54f2cd720c0,1,1,woodgroup@aisgroup.co.uk,,Organisation,Location,0,0,0,1,0,0,0,0,0,1,WG,1,1,0,0,1,1,0,1,0,Wood Group UK,woodgroup,1,0,0,1,8,120,90,60,0,0,,0,,0,Team,1,0,0,0,NI Number,Employee Number,0,0,0,1,0,0,1,0,fa7871db-7e94-4bab-9fac-ce3880f49e93,1,1,Health Status,30,1,0,1,1,Toolbox Talks,92a322af-13eb-476a-f88f-08d83863c80e,0,0,0,1,0,0,"woodgroup@3tenergygroup.com,skillspool@woodplc.com",1,1,0,0,1,Business Stream,1,http://cmsreports.ais-cmspro.com,1,1,1,woodgroup@3tenergygroup.com,30,0,1,"skillspool@woodplc.com,",1,1,1,0,1,1,,1,,0,,1,,1,skillspool@woodplc.com,SkillsPool,"skillspool@woodplc.com,",,,woodgroup@aisgroup.co.uk,"skillspool@woodplc.com, ",,,,,skillspool@woodplc.com,,skillspool@woodplc.com,,,,,,,"vamsi.kamini@3t-transform.com, support@3t-transform.com","skillspool@woodplc.com,","skillspool@woodplc.com,",,,,,skillspool@woodplc.com,0,woodgroup@3tenergygroup.com,0,1,0,£,0,0,1,0,skillspool@woodplc.com,NULL,NULL,0,0,0,20,1,0,0,0,0,1,1,1,1,1,1,Expense Code,0,,,823,Network Number,0,0,0,"dale.robertson@3t-transform.com, vamsi.kamini@3t-transform.com",1,0,0,0,NULL,1,1,1,0,0,1,woodgroup@ais-survivex.com,0,,0,0,0,0,90,,41b44610-bdbb-4e86-a7ec-08d8385918f9,0,4db47b15-e256-4961-8dda-08da1c851590,,1,0,1,0,0,1,,0,1,0,thirdpartycerts@aisgroup.co.uk,0,1,0,1,0,0,1,0,Wood,,0,0
